epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,45039.9,1.61553,0.63836,0.95125,0.68459,0.78823,0.74575,0.3885,1.564,0.64904,0.99111,0.00982345,0.00982345,0.00982345
109,45520.2,1.56632,0.62443,0.96027,0.79745,0.81692,0.82167,0.43943,1.5228,0.65844,0.98673,0.0098218,0.0098218,0.0098218
110,45916.2,1.59137,0.61862,0.96591,0.77505,0.86095,0.8308,0.44367,1.49639,0.63921,0.97658,0.00982015,0.00982015,0.00982015
111,46287.3,1.59025,0.61678,0.95104,0.7911,0.76653,0.82682,0.44064,1.49202,0.64657,0.97997,0.0098185,0.0098185,0.0098185
112,46722.5,1.61314,0.62184,0.94174,0.92117,0.81188,0.87994,0.43918,1.48644,0.63776,0.9762,0.00981685,0.00981685,0.00981685
113,47147.5,1.61248,0.63938,0.95474,0.79418,0.85234,0.88407,0.46842,1.45069,0.64299,0.9666,0.0098152,0.0098152,0.0098152
114,47669.1,1.59556,0.61189,0.95192,0.66694,0.83579,0.77227,0.41659,1.46937,0.69111,0.96935,0.00981355,0.00981355,0.00981355
115,48045.1,1.56798,0.62398,0.94991,0.70867,0.79255,0.79745,0.43242,1.5341,0.77249,0.98997,0.0098119,0.0098119,0.0098119
116,48547.4,1.58268,0.61108,0.95194,0.87376,0.83789,0.87919,0.45941,1.51748,0.64945,0.98737,0.00981025,0.00981025,0.00981025
117,48942.3,1.5603,0.60872,0.94097,0.81602,0.8282,0.88607,0.46901,1.55753,0.68918,0.99167,0.0098086,0.0098086,0.0098086
118,49365.1,1.55951,0.60798,0.94233,0.85055,0.70938,0.80037,0.41331,1.5284,0.63838,0.97976,0.00980695,0.00980695,0.00980695
119,49729.6,1.59488,0.61759,0.93951,0.75112,0.80155,0.81064,0.42257,1.49593,0.6425,0.97123,0.0098053,0.0098053,0.0098053
120,50208.9,1.56223,0.60872,0.95141,0.81964,0.84728,0.87836,0.4834,1.46073,0.61002,0.96755,0.00980365,0.00980365,0.00980365
121,50598.3,1.57368,0.60674,0.94439,0.79613,0.85098,0.86774,0.45539,1.45736,0.61606,0.96861,0.009802,0.009802,0.009802
122,50972.6,1.56611,0.61783,0.95388,0.78122,0.7719,0.7939,0.41764,1.53454,0.62254,0.98215,0.00980035,0.00980035,0.00980035
123,51461.4,1.54202,0.60398,0.95887,0.64712,0.77056,0.70762,0.38903,1.52359,0.66236,0.98095,0.0097987,0.0097987,0.0097987
124,51923.6,1.5625,0.60119,0.9519,0.67614,0.79731,0.75198,0.39832,1.60295,0.70877,1.00398,0.00979705,0.00979705,0.00979705
125,52344.3,1.55954,0.60219,0.947,0.91472,0.89743,0.95305,0.48946,1.48828,0.61343,0.97348,0.0097954,0.0097954,0.0097954
126,52689.1,1.54834,0.60305,0.94492,0.76526,0.83311,0.87847,0.48473,1.4657,0.62252,0.96689,0.00979375,0.00979375,0.00979375
127,53132.9,1.55805,0.59992,0.93441,0.73664,0.67781,0.77591,0.42021,1.52658,0.6616,0.9777,0.0097921,0.0097921,0.0097921
128,53553.2,1.53723,0.59143,0.94836,0.80332,0.82902,0.84507,0.46442,1.47637,0.60515,0.96949,0.00979045,0.00979045,0.00979045
129,53997.8,1.53781,0.592,0.94313,0.78786,0.82676,0.87569,0.48955,1.44305,0.6064,0.96283,0.0097888,0.0097888,0.0097888
130,54246.3,1.54847,0.60239,0.93698,0.77782,0.78874,0.86035,0.45189,1.47012,0.604,0.96756,0.00978715,0.00978715,0.00978715
131,54581,1.57815,0.61241,0.95511,0.89211,0.81713,0.89691,0.47951,1.4681,0.59987,0.96938,0.0097855,0.0097855,0.0097855
132,55057.9,1.54125,0.5862,0.93247,0.73963,0.84621,0.87006,0.47873,1.47204,0.64155,0.97152,0.00978385,0.00978385,0.00978385
133,55422.6,1.52231,0.58797,0.94056,0.76759,0.80216,0.85313,0.46063,1.53532,0.65504,0.98714,0.0097822,0.0097822,0.0097822
134,55806.6,1.54674,0.59158,0.94666,0.72492,0.72588,0.7899,0.41702,1.54399,0.6793,0.98949,0.00978055,0.00978055,0.00978055
135,56285.2,1.57905,0.60003,0.94119,0.76007,0.81449,0.83263,0.45514,1.46073,0.66105,0.96803,0.0097789,0.0097789,0.0097789
136,56699.9,1.50723,0.57401,0.94256,0.82306,0.67409,0.8204,0.42569,1.52801,0.63543,0.9773,0.00977725,0.00977725,0.00977725
137,57123.3,1.51182,0.59026,0.93901,0.73654,0.85299,0.87004,0.44117,1.49358,0.65805,0.96633,0.0097756,0.0097756,0.0097756
138,57503.3,1.53426,0.59957,0.94126,0.94678,0.86218,0.94398,0.50858,1.50317,0.60692,0.97762,0.00977395,0.00977395,0.00977395
139,57867.8,1.50357,0.59685,0.9512,0.80166,0.77518,0.88791,0.47948,1.499,0.64035,0.9751,0.0097723,0.0097723,0.0097723
140,58353.6,1.54135,0.5966,0.92369,0.8412,0.84406,0.88749,0.47924,1.48542,0.61266,0.96496,0.00977065,0.00977065,0.00977065
141,58761.8,1.48648,0.5767,0.93973,0.8156,0.80684,0.83571,0.43298,1.50405,0.6214,0.97583,0.009769,0.009769,0.009769
142,59213.6,1.5238,0.57952,0.9373,0.85981,0.86273,0.89725,0.49151,1.46701,0.58764,0.97046,0.00976735,0.00976735,0.00976735
143,59671.7,1.5324,0.58138,0.93126,0.81219,0.82666,0.85184,0.44004,1.52983,0.60571,0.98462,0.0097657,0.0097657,0.0097657
144,60123.3,1.47893,0.57421,0.93782,0.74478,0.81468,0.81407,0.44446,1.46771,0.6075,0.96731,0.00976405,0.00976405,0.00976405
145,60525.2,1.52607,0.58167,0.93107,0.80111,0.7706,0.8622,0.47668,1.46389,0.60806,0.9654,0.0097624,0.0097624,0.0097624
146,61001.9,1.51059,0.57992,0.9445,0.74049,0.8071,0.81239,0.45092,1.50602,0.62261,0.98011,0.00976075,0.00976075,0.00976075
147,61432.1,1.46857,0.57108,0.9259,0.6731,0.81671,0.74854,0.405,1.5393,0.68292,0.98783,0.0097591,0.0097591,0.0097591
148,61805.3,1.4926,0.58078,0.94029,0.82467,0.79417,0.88495,0.48555,1.48914,0.63149,0.97209,0.00975745,0.00975745,0.00975745
149,62280,1.50367,0.57781,0.93158,0.89106,0.82426,0.89331,0.49701,1.46698,0.59006,0.96888,0.0097558,0.0097558,0.0097558
150,62669.5,1.50801,0.58162,0.93426,0.70883,0.77968,0.81332,0.45211,1.45871,0.62498,0.96416,0.00975415,0.00975415,0.00975415
151,63048.4,1.48326,0.56472,0.93941,0.90981,0.79636,0.90355,0.4755,1.47923,0.60864,0.96972,0.0097525,0.0097525,0.0097525
152,63521.3,1.49617,0.57012,0.93103,0.8538,0.79793,0.87016,0.47237,1.47829,0.58806,0.97448,0.00975085,0.00975085,0.00975085
153,63829.8,1.51755,0.57104,0.92992,0.69586,0.81324,0.79865,0.43225,1.50018,0.61775,0.97403,0.0097492,0.0097492,0.0097492
154,64226.9,1.5251,0.57563,0.92515,0.77999,0.80023,0.88498,0.49192,1.43349,0.60018,0.95749,0.00974755,0.00974755,0.00974755
155,64601.7,1.50974,0.57588,0.93185,0.78953,0.71258,0.81649,0.44028,1.47244,0.62536,0.97357,0.0097459,0.0097459,0.0097459
156,65045.4,1.53962,0.57345,0.91636,0.78829,0.76182,0.82363,0.45703,1.43476,0.60598,0.95959,0.00974425,0.00974425,0.00974425
157,65373.5,1.5054,0.57276,0.93463,0.90943,0.81875,0.8913,0.48947,1.45582,0.57733,0.96299,0.0097426,0.0097426,0.0097426
158,65851.2,1.47414,0.56326,0.93791,0.80933,0.77467,0.82395,0.45367,1.46299,0.58628,0.96682,0.00974095,0.00974095,0.00974095
159,66292.2,1.47164,0.56519,0.94666,0.80165,0.84195,0.83868,0.46157,1.50525,0.58754,0.97906,0.0097393,0.0097393,0.0097393
160,66723.9,1.4757,0.56798,0.93827,0.80903,0.77115,0.83777,0.44486,1.50467,0.59034,0.98072,0.00973765,0.00973765,0.00973765
161,67199.7,1.50675,0.57297,0.93136,0.86198,0.77274,0.88347,0.46829,1.48732,0.59165,0.97763,0.009736,0.009736,0.009736
162,67608.4,1.486,0.57336,0.92318,0.68928,0.85348,0.78693,0.43174,1.45269,0.62627,0.96281,0.00973435,0.00973435,0.00973435
163,67996.6,1.4871,0.56518,0.93766,0.74485,0.72308,0.85761,0.4792,1.45482,0.62736,0.96648,0.0097327,0.0097327,0.0097327
164,68436.8,1.50274,0.57567,0.93834,0.88688,0.77282,0.91286,0.5019,1.44972,0.61343,0.96274,0.00973105,0.00973105,0.00973105
165,68831.5,1.4875,0.57732,0.93245,0.81932,0.76801,0.90474,0.49719,1.47471,0.60091,0.97142,0.0097294,0.0097294,0.0097294
166,69281.6,1.48206,0.56666,0.94332,0.91188,0.8626,0.92678,0.51245,1.43574,0.59648,0.95676,0.00972775,0.00972775,0.00972775
167,69672.7,1.47935,0.55522,0.92927,0.90936,0.87694,0.93141,0.50871,1.44185,0.58135,0.9591,0.0097261,0.0097261,0.0097261
168,70143.4,1.47881,0.56683,0.92835,0.87147,0.7966,0.90517,0.48071,1.49049,0.6073,0.96932,0.00972445,0.00972445,0.00972445
169,70509.4,1.47877,0.56737,0.92435,0.75344,0.88296,0.83365,0.44707,1.50384,0.59595,0.97342,0.0097228,0.0097228,0.0097228
170,70944.2,1.50484,0.55958,0.93374,0.77048,0.7816,0.83233,0.44015,1.46122,0.60464,0.96282,0.00972115,0.00972115,0.00972115
171,71365.1,1.45594,0.55111,0.92787,0.74017,0.85861,0.82968,0.43126,1.48807,0.61171,0.97547,0.0097195,0.0097195,0.0097195
172,71858.6,1.47236,0.55849,0.93183,0.71682,0.77882,0.80799,0.45351,1.47018,0.62005,0.96683,0.00971785,0.00971785,0.00971785
173,72253.6,1.48152,0.56048,0.93758,0.71828,0.77741,0.79939,0.42372,1.48681,0.65042,0.96929,0.0097162,0.0097162,0.0097162
174,72620.1,1.4656,0.5555,0.93521,0.67736,0.89669,0.78346,0.41258,1.45854,0.63359,0.96002,0.00971455,0.00971455,0.00971455
175,72943.6,1.45231,0.5527,0.93364,0.79311,0.76328,0.8462,0.45876,1.48637,0.60232,0.9718,0.0097129,0.0097129,0.0097129
176,73436.2,1.46905,0.5545,0.94235,0.7394,0.81968,0.83018,0.46735,1.46164,0.60658,0.96678,0.00971125,0.00971125,0.00971125
